Child,Age,N.child,H.child,H.child.S,H.child.I,Schild,N.mother,H.mother,H.mother.S,H.mother.I,Smother
domin,1008,2136,5.005671331,4.774392705,0.231278626,2.257928118,6068,5.277369154,4.729237306,0.548131848,3.799624296
domin,1015,2232,4.997788026,4.703862753,0.293925273,2.426086957,6082,5.248372801,4.708362334,0.540010468,3.791770574
domin,1021,2783,5.085174326,4.789023841,0.296150485,2.469387755,5879,5.391365037,4.840905067,0.55045997,3.470484061
domin,1023,2412,4.999210082,4.683148973,0.316061109,2.328185328,5624,5.367499034,4.840587244,0.52691179,3.539332914
domin,1028,2544,4.965338653,4.662588278,0.302750375,2.38425492,5838,5.298307228,4.79811862,0.500188608,3.60815822
domin,1030,2339,4.901452368,4.574710179,0.326742189,2.418821096,6237,5.322053294,4.820492097,0.501561197,3.748197115
domin,1035,2218,4.871901034,4.549541195,0.322359838,2.555299539,6718,5.34318988,4.84262966,0.50056022,3.757270694
nic,756,797,3.570463308,3.573517418,-0.003054109,1.184249629,5804,5.483652998,4.939410788,0.54424221,3.905787349
nic,758,852,3.563661566,3.561803058,0.001858508,1.281203008,5276,5.475415711,4.940889036,0.534526675,3.990922844
nic,767,1092,3.709360249,3.687157041,0.022203208,1.301549464,5185,5.463095399,4.9295945,0.5335009,3.985395849
nic,771,1265,3.542517048,3.522745476,0.019771572,1.23776908,5133,5.453040856,4.940999582,0.512041274,3.75493782
nic,776,1260,3.621515658,3.597278612,0.024237046,1.229268293,5760,5.445282393,4.965539766,0.479742627,3.868368032
nic,779,1111,3.676970387,3.669210796,0.007759591,1.197198276,5595,5.44376211,4.970045708,0.473716402,3.904396371
nic,785,958,3.950341116,3.933259329,0.017081787,1.245773732,6049,5.507126018,5.028026567,0.479099452,4.171724138
nic,789,912,3.858803758,3.851253018,0.00755074,1.214380826,5695,5.543732733,5.027188051,0.516544682,4.021892655
nic,798,961,3.988262088,3.961295053,0.026967035,1.325517241,6070,5.523042587,5.002672917,0.520369669,4.360632184
nic,800,1036,3.937127552,3.913683887,0.023443664,1.366754617,5696,5.509722919,4.976745654,0.532977265,4.351413293
nic,807,1229,4.014451714,3.984994923,0.029456792,1.40617849,5967,5.510865317,5.001074985,0.509790332,4.433135215
nic,812,1167,3.965187378,3.93791121,0.027276167,1.389285714,5556,5.519246456,5.037512426,0.48173403,4.133928571
nic,818,1203,4.035905796,4.030894871,0.005010925,1.411971831,5900,5.487939772,5.030241744,0.457698028,4.111498258
